<<<<<<< HEAD
=======
Name,History,Blossom Texture,Img Link
Calla,"Calla’s are natives of South Africa, they grow so abundantly that they’re viewed as common roadside plants and are called “pig ears.”",Velvety,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/yellowgreen-calla.jpg
Canterbury Bells,Campanula medium originates in southern Europe.,Waxy,
Carnation,"Since Victorian times, a special meaning has been attached to flowers. Each flower or flower color is a symbolic representation of an emotion or expression. Carnations are no exception and are the symbolic flower of Mother’s Day. Carnations have many flower meanings often associated with a particular color.",Satin,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/carnation.jpg
Cattleya Orchids,Cattleya is a genus of approximately 53 species from Mexico to South America. The species was named after William Cattley in 1824 who successfully cultivaed the earliest specimens.,Velvety,
Celosia,"Celosia’s name is derived from the Greek word for “burning.” It grows widespread across Mexico, where it is known as “Velvet flower”, northern South America, tropical Africa, the West Indies, South, East and Southeast Asia where it is grown as a native or naturalized wildflower, and is cultivated as a nutritious leafy green vegetable. It is traditional fare in the countries of Central and West Africa, and is one of the leading leafy green vegetables in Nigeria, where it is known as ‘soko yokoto’, meaning “make husbands fat and happy”.","Irregular, Furry,",
Chrysanthemum,"Since Victorian times, a special meaning has been attached to flowers. Each flower or flower color is a symbolic representation of an emotion or expression. Native to Europe, Asia and South Africa, chrysanthemums are aromatic annual and perennial herbs.",Satin,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/chrysanthemum-yellow.jpg
Cornflower,"The Bachelor Button is a native of the Mediterranean region and the Near East. In folklore, cornflowers were worn by young men in love; if the flower faded too quickly, it was taken as a sign that the man’s love was not returned. It was the favorite flower of John F. Kennedy and was worn by his son, John F. Kennedy, Jr. at his wedding in tribute to his father.",Satin ,
Craspedia,"Known familiarly as the “billy button” or “drumstick,” Craspedia is a native wildflower of New Zealand, Australia and Tasmania. It has been cultivated in the United States as a garden flower ever since 1988.Its name comes from the Greek kraspedon for “edging,” referring  to the feathery foliage that accompanies its fruit.",Irregular,
Crocosmia,"Crocosmia is native to the grasslands of Cape Floristic Region, South Africa.",Irregular,
Cymbidium Orchids,"They have been cultivated for thousands of years, especially in China. Cymbidiums became popular in Europe during the Victorian era. One feature that makes the plant so popular is the fact that it can survive during cold temperatures.",Waxy,
Daffodils,"There are two legends of note about the origins of the daffodil, each being very different. It seems this flower has different meanings for different cultures of the world. For the West, it’s vanity, and the East it means fortune and prosperity.",Satin ,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/11/daffodil-photo.jpg
Dahlia,"Dahlias are native to Mexico and Central America.The first dahlias cultivated outside their native environment and were then grown in Madrid, Spain, in the late 1700s. Dahlias are members of the Compositae family, and are related to daisies.",Satin ,
Delphinium,"The Delphinium family includes more than 300 species of flowers native to the northern hemisphere. They are often called larkspur because of their unusual spur-like flowers. The Delphinium has become a florist favorite because it is one of the few, large flowers that are actually natural blue.",Satin,https://www.flowershopnetwork.com/blog/wp-content/uploads/2011/09/bluel.jpg
Dendrobium Orchids,"Since Victorian times, a special meaning has been attached to flowers. The flowers are native to Southeast Asia, Japan, Taiwan, Indonesia, China, the Philippines and Australia. Their name derives from the Greek word kymbe, meaning “boat,” and refers to the blooms’ hollowed lips.",Satin ,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/orchid-dendrobium.jpg
Forsythia,"Forsythia are deciduous shrubs with rough grey-brown bark. The bright, yellow flowers are produced in the early spring before the leaves.",Satin,
Freesia,"Since Victorian times, a special meaning has been attached to flowers. Each flower or flower color is a symbolic representation of an emotion or expression. Freesias are native to South Africa and are named for Friedrich Heinrich Theodor Freese, a German student who studied African plants in the 19th century.","Satin
Stem Size: 12-18”",https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/pink-freesia.jpg
Gardenia,"The double-flowered Gardenia originated in south China, while Gardenia thunbergia, which has single, strap-petalled flowers, is from South Africa. Jazz singer Billie Holiday was known to wear gardenias in her hair, one of her most noticeable features. She called them her trademark.",Satin,
Genista,"Genista is native to Africa, specifically the Canary Islands, thus the nickname Canary Island Broom. Plants were used to make a green dye.",Irregular,
Gerbera,"History 
Since Victorian times, a special meaning has been attached to flowers. Each flower or flower color is a symbolic representation of an emotion or expression. Gerbera’s are a native to South Africa and Asia, they are available in many colors. Gerbera’s have light or dark colored centers and come in standard or mini sizes.",,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/orange-gerbera-daisy.jpg
Ginger,About 50 species occur in tropical and subtropical regions.The sweetly scented flowers are borne in spirally arranged clusters.,Waxy,
Gladiolus,"The word gladiolus means “little sword” in Latin. The first of the 250-300 existing gladiolus species originated in South Africa and the Mediterranean region. The flower was then later brought to Europe, where it is bearing almost every color except true blue.",Satin,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/red-gladiolus.jpg
Gloriosa,"Gloriosa is native to Africa, Southeastern Asia and parts of Malaysia, but they are now widely cultivated. All parts of this plant are toxic.",Waxy,
Heather,"The Heather genus includes more than 500 species of evergreen plants native primarily to South Africa, but also to Europe and Turkey.",Irregular,https://www.flowershopnetwork.com/blog/wp-content/uploads/2011/09/heather.jpg
Hyacinth,Hyacinths are sometimes associated with rebirth and the Greek god Apollo. The Hyacinth flower is used in the Haftseen table setting for the Persian New Year celebration Norouz held during the Spring Equinox.,Waxy,
Hydrangeas,"Hydrangeas originated in North America, South America and Asia. Their name comes from the Greek words hydor, which means “water,” and aggeion, which means “vessel,” referring to the shape of the flowers’ seed caps. The Hydrangea florets’ rounded shapes have gained them popularity in recent years.",Satin,https://www.flowershopnetwork.com/blog/wp-content/uploads/2011/09/hydraL.jpg
Hypericum,History,Smooth,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/red-hypericum.jpg
Iris,"Since Victorian times, a special meaning has been attached to flowers. Each flower color is a symbolic representation of an emotion or expression. Iris’s are native to southern Europe and the Mediterranean region.The Iris takes its name from the Greek goddess who transported messages between mortals and the Mount Olympus.",Satin,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/purple-iris.jpg
Kangaroo Paw,"The tubular flowers are coated with dense hairs and open with six claw-like structures, thus the common name “Kangaroo Paw.” As its common name suggests, kangaroo paw is a native of southwestern Australia.",Velvety,
King Protea,"The King Protea is the National Flower of South Africa. Proteas come in a variety of sizes and colors and are members of the Proteaceae family, a genus of 130 species of African shrubs. The flowers’ name, therefore, refers to the flower heads’ varied forms.",Velvety ,
Liatris,"Liatris is native to North America, Mexico, and the Bahamas.",Fuzzy,https://www.flowershopnetwork.com/blog/wp-content/uploads/2011/09/44L.jpg
Lilac,"Since Victorian times, a special meaning has attached to flowers. Native to Europe and the temperate zones of Asia, lilacs are popular spring flowers, prized for their delicate blooms and their heady fragrance.",Satin,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/purple-lilac.jpg
Lily,"A member of the Liliaceae family, lilies are fragrant, bulbous, herbaceous perennials that are native to the northern temperate zones. About half of the lily species originate in continental Asia, while the remainder are native to Europe, North America and Japan. In ancient times, many cultures considered lilies to be signs of fertility and a pure life, and the flowers were used as offerings to appease the gods.",Satin ,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/yellow-lily.jpg
Lily of the Valley,"In the wild, lilies of the valley can be found throughout much of temperate Europe. A Christian legend states that Mary’s tears turned to lily of the valley when she cried at the crucifixion of Jesus.",Waxy,
Lisianthus,"Since Victorian times, a special meaning has been attached to flowers. Each flower or flower color is a symbolic representation of an emotion or expression. It originates in the West Indies, Mexico, and Central and South America. The common name comes from the Greek words lysis, meaning “dissolution,” and anthos, meaning “flower”.",Satin,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/purple-lisianthus.jpg
Muscari,"The Muscari have originated in the old world, from the Mediterranean basin, the Center and South of Europe, Northern Africa, the West, Center and South-West of Asia. The term muscari comes from the Latin muscus, since the scent is said to resemble musk.",Waxy,
Nerine,"Nerine was named when a ship was wrecked many years ago on Guernsey, the second largest of the Channel Islands, located off the coast of Normandy. They are actually native only to South Africa, where they bloom every March on Table Mountain in Cape Town.",Satin,
Oncidium Orchids,"The flowers are native to Southeast Asia, Japan, Taiwan, Indonesia, China, the Philippines and Australia. Their name derives from the Greek word kymbe, meaning “boat,” and refers to the blooms’ hollowed lips.",Satin,
Orchids,"The orchid family is currently believed to be the largest family of flowering plants. The number of orchid species equals more than twice the number of bird species, and about four times the number of mammal species.",,
Peony,"Peonies are native to Asia, southern Europe and western North America.",Satin,
Phlox,"The name phlox is a Latin word for “flower” or “flame,” which comes from the Greek word meaning “wallflower”, and is a native North American plant.",Satin,
Pincushion,"Pincushions are native to Zimbabwe and South Africa, where they occupy a variety of habitats, including scrub, forest, and mountain slopes.",Irregular,
Pitcher Plant,"The pitcher plant is actually native to the New World. Its range extends from southern Alabama, through Florida and Georgia, to the coastal plains of southern Virginia, North Carolina and South Carolina.",Irregular,
Queen Annes Lace,"In ancient Egypt, this plant was used to treat skin diseases. Ammi majus is being studied for potential cancer and AIDS treatments.",Irregular ,
Ranunculus,"The name refers not to the flowers’ appearance, but to the moist environments in which they typically grow.These flower have gently bending stems covered with soft, fuzzy hair and sparse foliage support.",Satin ,
Rice Flower,Native to east Australia.,Rough,
Rose,"These timelessly beautiful blooms originated more than 4,000 years ago, growing in the fertile land between the Tigris and Euphrates rivers in the Middle East. Today, roses come in many shapes, sizes and colors, including three popular types: sweetheart, spray and tea.",Velvety,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/rose-orange.jpg
Safflower,Safflower is one of humanity’s oldest crops. Dyes and garlands made from safflowers were found in the tomb of the pharaoh Tutankhamun.,Rough,
Sandersonia,Sandersonia is a plant genus native to South Africa.,Waxy,
Scabiosa,"Originating in southern Europe, this flower’s name also translates to “mournful widow.”",Satin,
Snapdragon,"Since Victorian times, a special meaning has been attached to flowers. Each flower or flower color is a symbolic representation of an emotion or expression. A highly versatile, spiky flower that comes from the Mediterranean area.",Irregular,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/yellow-snapdragon.jpg
Solidago,"Solidago is native to North America, although some varieties are native to South America or Europe. Solidago derives its name from the Latin words solido, which means “to strengthen or make whole,” and ago, which means “to make.” The name refers to the medicinal properties attributed to the flowers.",Fuzzy,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/golden-rod.jpg
Statice,"Since Victorian times, a special meaning has been attached to flowers. Each flower or flower color is a symbolic representation of an emotion or expression. Of the Mediterranean origin, limonium–commonly called statice–gets its name from the Greek word for “meadow”.",Papery,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/purple-statice.jpg
Stephanotis,Stephanotis is native from Malaya to Madagascar. The name derives from the Greek ‘stephanos’ crown and ‘otis’ ear which refers to the arrangement of the stamens in the flower which (supposedly) are ear shaped.,Waxy,
Stock,"Since Victorian times, a special meaning has been attached to flowers. Each flower or flower color is a symbolic representation of an emotion or expression. The stock’s specific epithet, incana, means “hoary” and refers to the plant’s typically fuzzy stem.",Irregular,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/purple-stock.jpg
Sunflower,"A native of North America, the sunflower is best-known for its bold cheery flowers.",Rough,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/yellow-sunflower.jpg
Sweet Pea,"With more than 260 varieties in cultivation, sweet peas come in a broad color range, including white, purple, pink, lavender and red.",Satin,
Tulip,"Tulips have a long interesting history. Grown for years in Turkish gardens, tulips were introduced to Europe in the mid-16th century. Tulipa, the tulip’s genus name, is the Latinized version of tulipam or tulbend, which means “turban” in Turkish and was generally used to describe the tulips’ shapes.",Satin,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/red-tulip.jpg
Waxflower,"The name uncinatum means “hooked” in Latin, in reference to the tips of the leaves.",Waxy,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/waxflower.jpg
Zinnia,"Zinnias are simple, cheery garden flowers that are related to the black-eyed Susan, marigold and aster. It’s part of the Asteraceae family and is native to the Americas, including Mexico, Colorado, New Mexico, Kansas, Arizona and Texas. It’s been commonly referred to as youth and old age, in reference to the flower’s multiple layers.",Rough,
>>>>>>> flowers
