Question,Category
When and where did you meet?,Relationship Development
Who introduced you to each other?,Relationship Development
Where was your first date?,Relationship Development
When did you meet each other’s parents?,Relationship Development
What are the names of your spouse’s father and mother?,Relationship Development
What did your spouse wear at your wedding?,Wedding
Who attended your wedding?,Wedding
Where did the wedding take place?,Wedding
Were your parents there?,Wedding
Where did you go on your honeymoon?,Wedding
Where have you gone on vacation together?,Your Relationship
What is your spouse’s religion?,Your Relationship
Do you live together 24/7?,Your Relationship
Who takes care of household finances?,Your Relationship
Which side of the bed do you sleep on?,Routines
Do you have any pets?,Routines
How does your spouse get to work?,Routines
How many bedrooms are there in your house/apartment?,Routines
When was the last time you saw your spouse’s parents?,Family
What are the names of your spouse’s brothers and sisters ?,Family
What’s your spouse’s best friend’s name?,Family
Where did your spouse go to school?,Education
Did he/she go to college?,Education
What subject did your spouse major in?,Education
Does your spouse have a college degree?,Education
What is your spouse’s occupation?,Employment
Who does your spouse work for?,Employment
How long has your spouse been working there?,Employment
What is your spouse’s salary?,Employment
What is your current address?,
Who lives at your address?,
What your cell #?,
What is your spouse’s cell #?,
What is your spouse’s date of birth?,
"How, when and where did you meet your spouse?",
How many days after you first saw her/him did you call her/him?,
When did you see your spouse a second time?,
What did you do with her/him?,
"Where and with whom did your spouse live when you met your
spouse?",
Did she ever come up to see you?,
Where did your spouse work when you met your him/her?,
What type of work did he/she do?,
"Where did your spouse work when you met? What type of work did
your spouse do?",
What type of work does your spouse do?,
What is your spouse’s work schedule?,
Are both of these salaries deposited into the same bank account?,
What bank account do you use?,
"Did your spouse have a car when you met? What model, color, etc?",
Are these the cars you and your spouse current drive?,
"If not, when did you and/or your spouse change cars?",
"If you now have cars, how much money is owed on them? How much
is the monthly payment?",
How long did you and your spouse date prior to getting married?,
"When did you and your spouse decide to get married? Was there a
proposal? Who proposed? When and where did it take place?",
"Did you and your spouse live together prior to your marriage?
When, where, how long?",
When did you and your spouse move in together?,
"If you had a celebration, what food/beverages were served?",
"Did you and your spouse go on a honeymoon? If yes, where did you
go?",
How long did you travel for?,
How did you get to your honeymoon destination?,
"Who pays the rent/mortgage? How is it paid? (Do you mail it?
Hand-deliver it?)",
"Where does your landlord live, or what company holds the mortgage
on your property?",
How many sleeping rooms does your home have?,
Are all the sleeping rooms on the same side of the home?,
What size bed do you and your spouse have?,
Describe the pieces of furniture in your bedroom?,
What is your spouse’s full name?,Background
Where was your spouse born?,Background
How did your spouse come to the United States?,Background
Where did your spouse enter the US?,Background
Does your spouse have children from before your marriage?,Background
Has your spouse ever been married before?,Background
How many siblings does your spouse have? What are their names?,Background
What are your mother-in-law and father-in-law’s names?,Background
When is the last time you saw your spouse’s parents?,Background
When did you and your spouse get married?, Information Regarding Your Relationship with Your Spouse
Where did you and your spouse get married?, Information Regarding Your Relationship with Your Spouse
Are you and your spouse planning on having children?, Information Regarding Your Relationship with Your Spouse
How many people were at your wedding?, Information Regarding Your Relationship with Your Spouse
How did you get to the wedding?, Information Regarding Your Relationship with Your Spouse
How did you and your spouse meet?, Information Regarding Your Relationship with Your Spouse
Where did you and your spouse meet?, Information Regarding Your Relationship with Your Spouse
When did you and your spouse meet?, Information Regarding Your Relationship with Your Spouse
Did you and your spouse live together before you got married?, Information Regarding Your Relationship with Your Spouse
Do you are your spouse currently live together?, Information Regarding Your Relationship with Your Spouse
What is the address that you and your spouse live at? How long have you lived at this address?, Information Regarding Your Relationship with Your Spouse
Did you have a honeymoon? Where was it?, Information Regarding Your Relationship with Your Spouse
Where did your spouse propose to you?, Information Regarding Your Relationship with Your Spouse
How did your spouse propose to you?, Information Regarding Your Relationship with Your Spouse
Which one of you pays for the bills?, Information Regarding Your Relationship with Your Spouse
Do you and your spouse have a shared bank account?, Information Regarding Your Relationship with Your Spouse
Do you and your spouse attend religious services? How often? Where?, Information Regarding Your Relationship with Your Spouse
Do either you or your spouse cook? How often?, Information Regarding Your Relationship with Your Spouse
How did you and your spouse celebrate your last birthday?, Information Regarding Your Relationship with Your Spouse
What did you get your spouse for his/her last birthday?, Information Regarding Your Relationship with Your Spouse
What television shows do you and your spouse watch?, Information Regarding Your Relationship with Your Spouse
Did you and your spouse have dinner together last night? What did you have?, Information Regarding Your Relationship with Your Spouse
Do you live in a house or an apartment?,Relationship Development
What is the color of your apartment building/house?,Relationship Development
Does your apartment building have an elevator?,Relationship Development
How much is your rent/mortgage payment every month?,Relationship Development
"What type of flooring is in your bedroom? (carpet, wood, etc.)",Relationship Development
What is the color of your refrigerator? (Tip: You should know the colors of the appliances and the furniture in your home),Relationship Development
How many bathrooms are in your apartment/house? How many showers?,Relationship Development
How many televisions are in your home?,Relationship Development
What are the colors of the walls in your home?,Relationship Development
Does your spouse have any tattoos?, Spouse’s Personal Information
Does your spouse have any scars?, Spouse’s Personal Information
Does your spouse smoke?, Spouse’s Personal Information
What color are your spouse’s eyes?, Spouse’s Personal Information
What is your spouse’s cell-phone number?, Spouse’s Personal Information
What time does your spouse usually come home from work?, Spouse’s Personal Information
What time did your spouse come home last night?, Spouse’s Personal Information
What time does your spouse usually wake up in the morning? Who wakes up first?, Spouse’s Personal Information
What does your spouse usually eat for breakfast?, Spouse’s Personal Information
Do you have any nicknames for your spouse? What are they?, Spouse’s Personal Information
What cologne or perfume does your spouse wear?, Spouse’s Personal Information
How much does your spouse earn each year?, Spouse’s Personal Information
